run_id,fusion_mode,topn_rerank,temperature,alpha,baseline_acc,fused_acc,delta_acc,kg_relation_set,kg_top_k,kg_hop_depth,seconds
20260313_124931_m5_fusion_sanity,weighted,,10.0,,0.1354166666666666,0.13085937499999992,-0.004557291666666685,strict,10,1,103.71817350387573
20260313_140303_m5_fusion_weighted_fullval,weighted,,10.0,,0.16389219183511633,0.11051658079006486,-0.053375611045051466,strict,10,1,337.87229347229004
20260313_141000_m5_gated_fullval,gated,,10.0,,0.16389219183511633,0.16389219183511633,0.0,strict,10,1,356.3987352848053
20260313_143346_m5_topn_sanity,weighted,50,2.0,0.045021820813417435,0.1354166666666666,0.13476562499999994,-0.0006510416666666574,strict,10,1,23.23667550086975
20260313_143730_m5_topn_weighted_fullval,weighted,50,2.0,0.011509336531162262,0.16389219183511633,0.16376007398599493,-0.00013211784912139923,strict,10,1,293.8976101875305
20260313_145031_m5_topn20_weighted_fullval,weighted,20,2.0,0.011750280857086182,0.16389219183511633,0.16376007398599493,-0.00013211784912139923,strict,10,1,290.2979927062988
20260313_145705_m5_topn20_gated_fullval,gated,20,2.0,,0.16389219183511633,0.16389219183511633,0.0,strict,10,1,288.091614484787
20260314_155057_m6_matrix_modeweighted_relation_setstrict_top_k5,weighted,20,2.0,0.045117609202861786,0.1354166666666666,0.13411458333333326,-0.0013020833333333426,strict,5,1,29.607226848602295
20260314_155134_m6_matrix_modegated_relation_setstrict_top_k5,gated,20,2.0,,0.1354166666666666,0.13476562499999994,-0.0006510416666666574,strict,5,1,24.534409999847412
20260314_155205_m6_matrix_modeweighted_relation_setstrict_top_k10,weighted,20,2.0,0.0451069213449955,0.1354166666666666,0.13476562499999994,-0.0006510416666666574,strict,10,1,24.464959621429443
20260314_155234_m6_matrix_modegated_relation_setstrict_top_k10,gated,20,2.0,,0.1354166666666666,0.13476562499999994,-0.0006510416666666574,strict,10,1,25.173489809036255
20260314_155305_m6_matrix_modeweighted_relation_setstrict_top_k20,weighted,20,2.0,0.04513326287269592,0.1354166666666666,0.13411458333333326,-0.0013020833333333426,strict,20,1,22.736732721328735
20260314_155333_m6_matrix_modegated_relation_setstrict_top_k20,gated,20,2.0,,0.1354166666666666,0.1354166666666666,0.0,strict,20,1,22.513289213180542
20260314_155401_m6_matrix_modeweighted_relation_setbroad_top_k5,weighted,20,2.0,0.045151934027671814,0.1354166666666666,0.13411458333333326,-0.0013020833333333426,broad,5,1,22.405465841293335
20260314_155429_m6_matrix_modegated_relation_setbroad_top_k5,gated,20,2.0,,0.1354166666666666,0.13476562499999994,-0.0006510416666666574,broad,5,1,22.003166437149048
20260314_155457_m6_matrix_modeweighted_relation_setbroad_top_k10,weighted,20,2.0,0.04510505124926567,0.1354166666666666,0.13476562499999994,-0.0006510416666666574,broad,10,1,22.12475848197937
20260314_155524_m6_matrix_modegated_relation_setbroad_top_k10,gated,20,2.0,,0.1354166666666666,0.13476562499999994,-0.0006510416666666574,broad,10,1,22.444165468215942
20260314_155552_m6_matrix_modeweighted_relation_setbroad_top_k20,weighted,20,2.0,0.045122113078832626,0.1354166666666666,0.13411458333333326,-0.0013020833333333426,broad,20,1,22.571650743484497
20260314_155620_m6_matrix_modegated_relation_setbroad_top_k20,gated,20,2.0,,0.1354166666666666,0.1354166666666666,0.0,broad,20,1,22.596864461898804
